Seed,Scheme,Approach,w1,b1,w2,b2,wx,wy,by,k_best,base_estimator,Missing_Percent,Accuracy,Balanced_Acc,F1,ROC_AUC,Imputation_score
0,None,Oracle,,,,,,,,,,0.0,0.8285714285714286,0.8300653594771241,0.8235294117647058,0.8398692810457516,[]
0,MCAR_0.2,naive,,,,,,,,,,23.08,0.8,0.8022875816993464,0.7878787878787878,0.8496732026143791,[]
0,MCAR_0.2,self_training,,,,,,,,1.0,SVC,23.08,0.8,0.8022875816993464,0.7878787878787878,0.8235294117647058,"[1.0, 1.0, 1.0, 1.0, 0.9166666666666667, 0.9285714285714286, 0.9375, 0.9, 0.9090909090909092, 0.8541666666666667, 0.8303571428571428, 0.788888888888889]"
0,MCAR_0.2,self_training,,,,,,,,1.0,LogisticRegression,23.08,0.7428571428571429,0.7450980392156863,0.7272727272727273,0.826797385620915,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9375, 0.9444444444444444, 0.9090909090909092, 0.9166666666666667, 0.829059829059829, 0.8444444444444444]"
0,MCAR_0.2,self_training,,,,,,,,1.0,RandomForestClassifier,23.08,0.8285714285714286,0.8300653594771241,0.8235294117647058,0.8594771241830065,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9444444444444444, 0.9090909090909092, 0.9166666666666667, 0.8928571428571428, 0.8111111111111111]"
0,MCAR_0.2,self_training,,,,,,,,1.0,XGBClassifier,23.08,0.7714285714285715,0.7761437908496732,0.7333333333333333,0.8496732026143791,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 0.9166666666666667, 0.8928571428571428, 0.8111111111111111]"
0,MCAR_0.2,label_propagation,,,,,,,,,,23.08,0.7714285714285715,0.7745098039215685,0.75,0.8006535947712418,"[0.7666666666666666, 0.8, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333]"
0,MCAR_0.5,naive,,,,,,,,,,52.88,0.8571428571428571,0.8562091503267973,0.8648648648648649,0.8578431372549019,[]
0,MCAR_0.5,self_training,,,,,,,,1.0,SVC,52.88,0.8571428571428571,0.8594771241830066,0.8484848484848485,0.8839869281045751,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9736842105263157, 0.975, 0.9761904761904762, 0.9772727272727273, 0.9583333333333333, 0.9423076923076923, 0.9444444444444444, 0.9058441558441559, 0.893939393939394, 0.8814866760168303]"
0,MCAR_0.5,self_training,,,,,,,,1.0,LogisticRegression,52.88,0.8285714285714286,0.8316993464052287,0.8125,0.9248366013071895,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9666666666666667, 0.96875, 0.9705882352941176, 0.9722222222222222, 0.95, 0.9318181818181819, 0.9347826086956521, 0.9375, 0.94, 0.9259259259259259, 0.9107142857142857, 0.896551724137931, 0.896551724137931, 0.8833333333333333]"
0,MCAR_0.5,self_training,,,,,,,,1.0,RandomForestClassifier,52.88,0.8285714285714286,0.8300653594771241,0.8235294117647058,0.8970588235294117,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9736842105263157, 0.975, 0.9761904761904762, 0.9772727272727273, 0.9583333333333333, 0.9423076923076923, 0.9259259259259259, 0.9285714285714286, 0.9, 0.9]"
